Month,Week #,Year,Price
January,1,2018,12.59
January,2,2018,12.43
January,3,2018,12.6
January,4,2018,12.67
February,1,2018,12.98
February,2,2018,13.19
February,3,2018,13.44
February,4,2018,13.58
March,1,2018,13.88
March,2,2018,13.98
March,3,2018,14.23
March,4,2018,14.36
March,5,2018,14.33
April,1,2018,14.39
April,2,2018,14.32
April,3,2018,14.22
April,4,2018,14.14
May,1,2018,14.01
May,2,2018,13.92
May,3,2018,13.99
May,4,2018,13.74
June,1,2018,13.84
June,2,2018,13.9
June,3,2018,13.9
June,4,2018,13.94
June,5,2018,14.05
July,1,2018,14.33
July,2,2018,14.33
July,3,2018,14.34
July,4,2018,14.44
August ,1,2018,14.24
August ,2,2018,14.19
August ,3,2018,14.15
August ,4,2018,14.42
September,1,2018,14.48
September,2,2018,14.71
September,3,2018,14.85
September,4,2018,14.8
September,5,2018,14.94
October ,1,2018,14.69
October ,2,2018,14.59
October ,3,2018,14.2
October ,4,2018,14.17
November,1,2018,14.3
November,2,2018,14.17
November,3,2018,14.16
November,4,2018,14.04
December,1,2018,14.23
December,2,2018,14.21
December,3,2018,14.09
December,4,2018,14.46
January,1,2019,13.92
January,2,2019,13.93
January,3,2019,13.98
January,4,2019,13.9
February,1,2019,13.93
February,2,2019,13.77
February,3,2019,13.9
February,4,2019,13.85
March ,1,2019,13.7
March ,2,2019,13.84
March ,3,2019,13.83
March ,4,2019,13.87
March ,5,2019,13.91
April  ,1,2019,14.07
April  ,2,2019,14.06
April  ,3,2019,14.05
April  ,4,2019,14.21
May,1,2019,14.22
May,2,2019,14.02
May,3,2019,14.06
May,4,2019,13.97
June,1,2019,14.01
June,2,2019,14.05
June,3,2019,14
June,4,2019,13.98
June,5,2019,14
July,1,2019,13.91
July,2,2019,13.98
July,3,2019,13.95
July,4,2019,13.99
August,1,2019,13.98
August,2,2019,13.76
August,3,2019,13.32
August,4,2019,13.25
August,5,2019,13.06
September,1,2019,13.04
September,2,2019,13.11
September,3,2019,12.96
September,4,2019,12.54
October,1,2019,12.34
October,2,2019,12.2
October,3,2019,12.15
October,4,2019,12.19
November,1,2019,12.07
November,2,2019,11.95
November,3,2019,11.96
November,4,2019,11.9
November ,5,2019,11.98
December ,1,2019,11.92
December ,2,2019,12.16
December ,3,2019,12.2
December ,4,2019,12.25
January,1,2020,12.21
January,2,2020,12.4
January,3,2020,12.42
January,4,2020,12.52
February,1,2020,12.56
February,2,2020,12.44
February,3,2020,12.41
February,4,2020,12.34
February,5,2020,12.13
March ,1,2020,12.07
March ,2,2020,12.13
March ,3,2020,12.09
March ,4,2020,11.92
April,1,2020,12.23
April,2,2020,12.2
April,3,2020,12.5
April,4,2020,12.48
May,1,2020,12.45
May,2,2020,12.48
May,3,2020,12.63
May,4,2020,12.65
May,5,2020,12.74
June,1,2020,12.72
June,2,2020,12.64
June,3,2020,12.78
June,4,2020,12.77
July,1,2020,12.82
July,2,2020,12.82
July,3,2020,12.89
July,4,2020,12.85
August,1,2020,12.89
August,2,2020,12.94
August,3,2020,13.03
August,4,2020,12.99
August,5,2020,12.98
September ,1,2020,12.32
September ,2,2020,12.01
September ,3,2020,11.88
September ,4,2020,11.83
October,1,2020,11.85
October,2,2020,11.87
October,3,2020,11.87
October,4,2020,11.83
November,1,2020,11.82
November,2,2020,11.88
November,3,2020,11.95
November,4,2020,11.98
December ,1,2020,12.09
December ,2,2020,12.12
December ,3,2020,12.13
December ,4,2020,12.23
December ,5,2020,12.35
